id,title,category,energy,fat,fatsat,fattrans,carbs,fiber,sugar,protein,cholesterol,sodium,calcium,iron,vitc,sugaradded,potassium,famu,fapu,magnesium,zinc,phosphorus,vita,thiamin,riboflavin,niacin,vitb6a,folate,folatefood,folac,vitb12,vitd,vite,vitk1,water,sugaralc,measures,density,healthLabels,cautionLabels
8dtpnnya,garlic,genericFoods,149.0,0.5,0.089,,33.06,2.1,1.0,6.36,0.0,17.0,181.0,1.7,31.2,,401.0,0.011,0.249,25.0,1.16,153.0,0.0,0.2,0.11,0.7,1.235,3.0,3.0,0.0,0.0,0.0,0.08,1.7,58.58,,"{""oneMedium"":24.0,""serving"":3.0,""tsp"":2.8,""cup"":136.0}",0.571,939524094,0
8dvotxsb,Chow Mein,genericMeals,155.049,5.677,1.327,0.076,18.321,1.741,2.167,8.058,28.566,309.377,38.179,1.744,7.839,0.448,226.251,2.637,1.236,28.126,1.19,110.383,54.719,0.264,0.153,3.075,0.214,81.663,25.41,33.148,0.332,0.102,0.683,21.403,66.348,,"{""oneMedium"":224.1,""serving"":224.1,""ml"":1.0}",1.0,68506896,1462
8dzt1aga,Radish Chips,genericMeals,82.554,7.52,0.762,0.019,3.692,1.749,1.734,0.733,0.0,195.08,25.676,0.505,13.522,,225.843,5.041,1.551,10.735,0.288,20.948,4.958,0.013,0.039,0.265,0.072,23.188,23.188,0.0,0.0,0.0,1.302,5.99,87.085,,"{""oneMedium"":83.8,""serving"":83.8,""ml"":1.0}",1.0,115342847,320
8e4dn0sa,Fried Quail,genericMeals,179.051,13.753,2.585,0.016,3.234,0.278,0.855,9.751,34.868,184.356,16.178,2.013,9.214,,159.714,7.839,2.371,13.903,1.163,137.508,37.422,0.134,0.155,3.893,0.331,8.938,6.645,1.348,0.199,0.033,1.372,4.99,72.83,,"{""oneMedium"":330.26,""serving"":330.26,""ml"":1.0}",1.0,101703569,50
8e5x4qmb,Greens,genericMeals,68.906,2.961,0.922,0.028,8.298,1.597,2.277,2.589,4.781,178.787,55.323,0.725,20.94,,240.853,1.278,0.52,26.206,0.36,50.003,96.595,0.053,0.077,0.648,0.14,32.747,32.473,0.271,0.042,0.028,0.713,165.678,84.611,,"{""oneMedium"":298.58,""serving"":298.58,""ml"":1.0}",1.0,102751969,74
8edtgodb,"fast foods, pancakes with butter and syrup",genericFoods,224.0,6.03,2.52,,39.18,,,3.56,25.0,476.0,55.0,1.13,1.5,,108.0,2.27,0.84,21.0,0.44,205.0,35.0,0.17,0.24,1.46,0.05,27.0,15.0,7.0,0.1,,0.6,,49.72,,"{""oneMedium"":232.0,""serving"":232.0}",null,251657868,2
8en8fheb,Squash Patties,genericMeals,105.853,2.993,0.973,0.04,17.042,1.581,1.544,3.442,43.572,214.766,45.848,1.134,8.817,0.703,254.947,1.22,0.544,24.715,0.35,80.358,36.777,0.152,0.102,0.924,0.137,41.025,22.11,11.115,0.108,0.238,0.344,2.693,75.183,,"{""oneMedium"":105.93,""serving"":105.93,""ml"":1.0}",1.0,111148556,10
8ers3yvb,Schezwan Noodles,genericMeals,143.168,5.636,0.719,0.023,19.785,1.664,2.202,3.812,16.984,224.491,24.383,1.128,23.164,0.04,163.473,3.194,1.447,20.224,0.546,70.357,81.889,0.26,0.118,2.045,0.163,87.313,18.365,40.641,0.059,0.062,1.02,16.562,69.602,,"{""oneMedium"":254.53,""serving"":254.53,""ml"":1.0}",1.0,115342620,262
8etjqhja,Risotto Cakes,genericMeals,149.365,6.046,1.983,0.033,17.34,0.914,1.367,5.13,21.342,161.5,80.299,1.007,7.87,0.071,132.526,3.015,0.675,13.571,0.561,86.918,42.297,0.105,0.105,1.407,0.106,59.769,14.94,26.338,0.132,0.13,0.704,14.889,69.595,,"{""oneMedium"":201.08,""serving"":201.08,""ml"":1.0}",1.0,101711360,126
8evbq6ha,"RUSSIAN DRESSING, RUSSIAN",packagedFoods,483.0,44.83,6.9,0.0,13.79,0.0,13.79,0.0,52.0,759.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"{""serving"":30.0,""package"":480.0,""tbsp"":15.0,""floz"":30.0}",1.035,111050013,2
8eyjefna,Breaded Chicken,genericMeals,220.635,11.691,3.332,0.094,11.17,0.745,0.988,16.834,68.065,194.855,53.072,1.184,0.561,,211.719,4.562,2.766,24.9,0.915,168.56,39.098,0.149,0.161,6.612,0.417,24.409,12.273,7.159,0.287,0.28,0.911,8.658,58.842,,"{""oneMedium"":253.01,""serving"":253.01,""ml"":1.0}",1.0,102759937,60
8f1b3upb,Dal Nirvana,genericMeals,158.677,5.526,3.247,0.134,21.29,3.704,5.546,7.418,15.406,189.705,69.126,2.028,8.773,,332.708,1.469,0.386,22.358,0.986,110.824,63.5,0.517,0.135,1.069,0.211,119.403,119.403,0.0,0.046,0.252,0.646,8.239,64.14,,"{""oneMedium"":150.0,""serving"":150.0,""ml"":1.0}",1.0,115343084,0
8f1xhk1a,Peach Sundae,genericMeals,94.637,2.511,1.404,0.027,16.234,1.36,14.545,1.584,7.782,20.591,40.807,0.305,5.685,9.292,165.79,0.73,0.195,11.552,0.289,42.964,32.289,0.026,0.072,0.487,0.033,6.24,6.24,0.0,0.086,0.04,0.499,2.217,78.3,,"{""oneMedium"":324.08,""serving"":324.08,""ml"":1.0}",1.0,110100204,8
8f5o00va,Baked Zucchini,genericMeals,82.058,5.732,2.768,0.097,4.857,1.136,2.134,3.599,16.62,188.518,90.618,0.649,13.635,0.029,227.766,2.008,0.482,19.589,0.524,82.275,43.609,0.055,0.107,0.618,0.143,22.345,21.039,0.77,0.11,0.1,0.485,9.116,84.601,,"{""oneMedium"":234.15,""serving"":234.15,""ml"":1.0}",1.0,115343085,72
8f5ys2ya,Cranberry Tart,genericMeals,227.987,5.83,2.768,0.159,42.679,2.127,30.881,2.044,17.365,51.73,16.051,0.595,8.901,27.795,70.419,1.967,0.641,8.184,0.223,33.292,35.721,0.066,0.07,0.486,0.039,22.306,7.456,8.738,0.031,0.106,0.729,2.761,48.758,,"{""oneMedium"":224.74,""serving"":224.74,""ml"":1.0}",1.0,42991116,5
8fkkcfoa,butternut squash,genericFoods,45.0,0.1,0.021,,11.69,2.0,2.2,1.0,0.0,4.0,48.0,0.7,21.0,,352.0,0.007,0.042,34.0,0.15,33.0,532.0,0.1,0.02,1.2,0.154,27.0,27.0,0.0,0.0,0.0,1.44,1.1,86.41,,"{""oneMedium"":500.0,""oneLarge"":700.0,""oneSmall"":300.0,""cup"":140.0}",0.592,939524095,0
8fncy3sa,kraft free singles american nonfat pasteurized process cheese product,genericFoods,148.0,1.0,0.7,,11.7,0.2,6.7,22.7,16.0,1298.0,712.0,0.05,0.2,,236.0,,,,2.5,923.0,,,0.28,,,,,,,,,,58.0,,"{""oneMedium"":21.0,""serving"":42.0,""slice"":21.0}",null,134217453,2
8fqqqxna,Matzo Brei,genericMeals,181.369,10.001,3.619,0.141,16.927,0.907,3.644,5.918,112.878,187.582,30.978,1.167,3.493,1.528,107.653,4.173,1.483,12.529,0.606,84.904,72.759,0.087,0.199,0.785,0.09,17.481,17.481,0.0,0.305,0.697,0.943,2.1,66.176,,"{""oneMedium"":183.19,""serving"":183.19,""ml"":1.0}",1.0,111148556,10
8fuji41a,canned red sweet peppers,genericFoods,18.0,0.3,0.045,,3.9,1.2,,0.8,0.0,1369.0,41.0,0.8,46.5,,146.0,0.02,0.161,11.0,0.18,20.0,26.0,0.025,0.03,0.55,0.178,16.0,16.0,0.0,0.0,0.0,,,91.25,,"{""serving"":70.0,""can"":262.5,""cup"":140.0}",0.592,536870911,2
8fyojxca,wine,genericFoods,83.0,0.0,0.0,,2.72,0.0,0.79,0.07,0.0,5.0,8.0,0.37,0.0,,99.0,0.0,0.0,11.0,0.13,20.0,0.0,0.005,0.023,0.166,0.054,1.0,1.0,0.0,0.0,0.0,0.0,0.0,86.58,,"{""oneMedium"":148.0,""serving"":148.0,""bottle"":748.14,""floz"":29.5}",1.038,934281215,0
8g8886pb,moose meat,genericFoods,102.0,0.74,0.22,,0.0,0.0,,22.24,59.0,65.0,5.0,3.21,4.0,,317.0,0.15,0.24,23.0,2.8,158.0,0.0,0.06,0.27,5.0,,,,,,,,,75.55,,{},null,1073733617,0
8gverdhb,"Bryan Wieners , 12.0 Oz",packagedFoods,323.345,29.395,10.288,0.0,11.758,0.0,5.879,8.818,73.487,1058.219,58.79,1.058,,,587.899,,,,,,,,,,,,,,,,,,,,"{""serving"":34.02,""package"":340.19}",null,104845297,0
8h0x7zga,Moroccan Eggplant,genericMeals,64.695,4.063,0.785,0.019,6.877,2.466,4.005,1.453,1.66,129.928,27.137,0.538,16.05,0.247,216.757,2.359,0.65,15.154,0.257,34.756,37.172,0.064,0.046,0.6,0.099,18.934,18.934,0.0,0.014,0.01,0.903,11.48,86.624,,"{""oneMedium"":331.89,""serving"":331.89,""ml"":1.0}",1.0,48234399,49
8h0yv4bb,Chocolate Flan,genericMeals,271.58,11.776,6.033,0.177,36.611,1.308,30.689,6.478,84.056,116.964,134.205,1.357,0.957,17.737,243.57,3.988,0.947,33.705,0.927,162.739,86.256,0.077,0.286,0.482,0.057,25.71,14.339,6.684,0.334,0.756,0.584,1.024,43.8,,"{""oneMedium"":136.51,""serving"":136.51,""ml"":1.0}",1.0,44039692,51
8h1q6dzb,Chicken Meatloaf,genericMeals,166.091,8.974,2.722,0.068,8.097,0.807,2.215,12.701,63.179,245.736,43.161,1.101,4.19,0.211,275.951,3.711,1.778,20.735,0.988,134.153,49.013,0.119,0.163,4.488,0.31,19.062,11.401,4.518,0.33,0.228,0.498,10.509,68.731,,"{""oneMedium"":245.59,""serving"":245.59,""ml"":1.0}",1.0,111073793,574
8h68u03b,English Trifle,genericMeals,205.819,8.648,4.122,0.06,28.855,1.016,19.198,2.967,46.023,125.044,59.399,0.665,10.518,8.722,124.203,2.72,1.07,11.73,0.323,80.611,76.298,0.07,0.135,0.563,0.045,24.46,13.549,6.395,0.182,0.457,0.545,2.989,57.843,,"{""oneMedium"":251.64,""serving"":251.64,""ml"":1.0}",1.0,34602496,5
8hf9bana,Coconut Marshmallows,genericMeals,305.568,3.72,2.694,0.012,63.112,0.538,61.449,8.022,0.756,81.682,15.927,0.304,0.088,59.007,28.111,0.326,0.077,5.657,0.232,10.606,0.0,0.02,0.036,0.045,0.013,3.261,3.261,0.0,0.002,0.0,0.087,0.015,24.57,,"{""tbsp"":20.72}",1.401,35647072,77
8hfb8uqa,"sauce, mole poblano, dry mix, single brand",genericFoods,571.0,41.58,,,41.7,10.1,,7.48,,1164.0,302.0,5.71,,,602.0,,,127.0,2.5,254.0,1.0,0.13,0.57,2.54,0.75,74.0,74.0,,,,,,4.12,,"{""cup"":265.0}",1.12,251658142,2
8hihvhrb,Chickpea Falafel,genericMeals,321.992,20.959,1.894,0.075,27.432,4.891,4.648,8.121,5.573,191.707,62.84,2.397,15.299,,330.555,11.926,6.263,40.834,1.209,120.702,20.185,0.213,0.116,0.969,0.256,179.949,175.941,2.361,0.048,0.032,3.572,54.072,41.657,,"{""oneMedium"":127.49,""serving"":127.49,""ml"":1.0}",1.0,111148684,56
8hrorg7b,meatless meatballs,genericFoods,197.0,9.0,1.425,,8.0,4.6,1.25,21.0,0.0,550.0,25.0,2.16,0.0,,180.0,2.188,4.666,18.0,1.8,344.0,0.0,0.938,0.213,2.5,0.2,78.0,78.0,0.0,1.5,0.0,1.73,0.0,58.0,,"{""oneMedium"":85.0,""serving"":255.0,""cup"":144.0}",0.609,115342847,114
8ht0f9ia,Non-alcoholic Eggnog,genericMeals,169.774,11.638,6.715,0.003,12.576,0.13,12.321,3.958,102.825,60.08,97.645,0.283,0.227,7.686,118.507,3.511,0.694,9.468,0.475,97.635,141.623,0.041,0.185,0.078,0.053,12.846,12.846,0.0,0.435,1.228,0.446,1.0,70.912,,"{""oneMedium"":249.83,""serving"":249.83,""ml"":1.0}",1.0,113245805,0
8htkkngb,"COLONNA, PEPPERONCINI",packagedFoods,36.0,0.0,,0.0,10.71,,0.0,0.0,,1179.0,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":28.0,""piece"":9.33,""package"":196.0}",null,532676607,0
8hxgghwa,Arby's Melt,fastFoods,226.027,8.219,2.74,0.342,26.712,1.37,3.425,12.329,23.973,643.836,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":146.0}",null,102620288,0
8i490bfa,Tea Sandwiches,genericMeals,216.334,11.858,5.309,0.1,19.731,1.748,3.267,8.195,60.49,365.13,76.462,1.701,2.781,0.145,178.071,3.208,1.967,24.405,0.831,115.546,98.353,0.187,0.183,2.447,0.113,44.519,31.964,7.384,0.23,0.664,0.379,13.214,57.417,,"{""oneMedium"":165.61,""serving"":165.61,""ml"":1.0}",1.0,102682112,12
8i9z5qta,beef shoulder center steak,genericFoods,143.0,6.12,2.083,0.199,0.0,0.0,0.0,20.39,57.0,61.0,4.0,2.14,0.0,,347.0,3.439,0.554,24.0,5.24,212.0,0.0,0.072,0.23,5.13,0.673,7.0,7.0,0.0,3.56,,0.18,0.2,72.49,,"{""oneMedium"":246.0}",null,1056956401,0
8iawbklb,Butternut Spiral,packagedFoods,44.248,0.0,0.0,0.0,11.496,1.77,1.77,0.876,0.0,0.0,44.248,0.796,23.894,,,,,,,,,,,,,,,,,,,,,,"{""serving"":113.0}",null,939524095,0
8ibn9rhb,Citrus Marmalade,genericMeals,118.044,0.039,0.005,0.0,30.564,0.666,28.841,0.224,0.0,3.862,12.663,0.108,11.316,27.369,43.768,0.005,0.01,3.145,0.031,3.664,3.01,0.015,0.014,0.087,0.017,4.718,4.718,0.0,0.0,0.0,0.038,0.011,69.007,,"{""tbsp"":20.72,""ml"":1.0}",1.201,130023422,64
8iogv0ra,malted milk powder,genericFoods,88.0,3.62,2.039,,10.23,0.1,9.56,3.86,12.0,79.0,117.0,0.09,0.2,,183.0,0.903,0.276,17.0,0.43,106.0,33.0,0.081,0.242,0.519,0.066,8.0,8.0,0.0,0.46,,,0.5,81.4,,"{""serving"":265.0,""cup"":265.0}",1.12,117440141,0
8iq486rb,Cucumber Slaw,genericMeals,43.294,2.118,0.32,0.0,5.843,0.727,3.67,0.764,0.099,63.644,23.899,0.389,5.197,1.807,155.93,1.459,0.246,12.941,0.211,26.025,53.467,0.029,0.037,0.165,0.051,8.798,8.798,0.0,0.009,0.0,0.356,20.143,90.291,,"{""ml"":1.0}",1.0,111116287,66
8iqak62b,Potato Buns,genericMeals,156.788,3.392,1.786,0.093,27.424,1.527,5.134,4.362,18.83,191.288,25.132,1.038,4.196,4.314,204.289,0.925,0.332,15.557,0.472,67.466,29.526,0.286,0.163,1.877,0.15,75.719,44.198,18.536,0.082,0.229,0.175,1.22,63.676,,"{""oneMedium"":170.74,""serving"":170.74,""ml"":1.0}",1.0,111148556,126
8isp1q2b,Sea Breeze,genericMeals,69.272,0.068,0.008,,7.215,0.256,6.21,0.208,0.0,1.86,6.006,0.115,24.44,0.093,62.107,0.01,0.026,4.687,0.036,6.769,0.503,0.015,0.009,0.093,0.018,3.567,3.567,0.0,0.0,0.0,0.143,0.352,86.502,,"{""oneMedium"":205.39,""serving"":205.39,""ml"":1.0}",1.0,128974847,2
8iuvfmzb,Ralphs Cut Extra Green Green Beans,packagedFoods,16.667,0.0,0.0,0.0,3.333,1.667,1.667,0.833,0.0,333.333,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,"{""serving"":120.0,""package"":420.0,""cup"":240.0}",1.014,939524095,0
8iz3lflb,Napoleon Cremes,genericMeals,473.54,30.691,18.819,0.924,51.511,2.408,43.104,2.478,62.317,193.858,32.508,1.349,0.195,40.532,140.376,7.72,2.208,32.952,0.598,132.726,177.239,0.057,0.095,0.57,0.029,19.949,6.868,7.738,0.081,0.471,0.953,9.085,13.889,,"{""oneMedium"":22.68,""serving"":22.68}",null,44039692,5
8j4gvpta,acerola,genericFoods,32.0,0.3,0.068,,7.69,1.1,,0.4,0.0,7.0,12.0,0.2,1677.6,,146.0,0.082,0.09,18.0,0.1,11.0,38.0,0.02,0.06,0.4,0.009,14.0,14.0,0.0,0.0,,,,91.41,,"{""oneMedium"":4.8,""cup"":98.0}",0.414,1073741823,2
8jbgsudb,"Balocco, Ladyfingers",packagedFoods,385.262,3.502,0.0,0.0,80.555,3.502,45.531,10.507,105.071,105.071,0.0,0.63,0.0,,,,,,,,,,,,,,,,,,,,,,"{""serving"":28.55,""package"":199.86}",null,113245980,0
8jbsnfua,globe artichoke,genericFoods,47.0,0.15,0.036,,10.51,5.4,0.99,3.27,0.0,94.0,44.0,1.28,11.7,,370.0,0.005,0.064,60.0,0.49,90.0,1.0,0.072,0.066,1.046,0.116,68.0,68.0,0.0,0.0,0.0,0.19,14.8,84.94,,"{""oneMedium"":43.0,""oneLarge"":162.0,""package"":240.0,""cup"":225.0}",0.951,402653183,0
8jddt3ma,Cornflake Biscuits,genericMeals,436.015,22.501,11.836,0.712,54.521,1.952,22.643,5.505,68.195,179.03,62.099,3.036,1.808,15.338,147.237,7.238,1.558,18.923,0.523,125.797,187.24,0.176,0.192,2.002,0.185,65.442,16.183,28.97,0.443,0.689,1.334,2.243,16.0,,"{""oneMedium"":52.53,""serving"":52.53}",null,111148556,6
8je0wb3a,Cane's Sauce,fastFoods,446.804,42.329,7.055,0.0,11.758,0.0,9.406,0.0,23.516,1293.379,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":42.52}",null,1,0
8jfcs2ua,Roasted Broccolini,genericMeals,56.717,2.916,0.433,0.0,6.659,2.565,1.659,2.849,0.212,220.754,50.301,0.747,85.788,,307.351,1.838,0.303,20.736,0.406,65.986,30.514,0.069,0.114,0.618,0.173,60.241,60.241,0.0,0.004,0.002,1.106,98.685,86.221,,"{""oneMedium"":213.31,""serving"":213.31,""ml"":1.0}",1.0,920649727,64
8jhexvaa,"SHIRAKIKU, SEASONED POLLACK ROE SPICY, KARASHI MENTAIKO",packagedFoods,117.0,3.33,0.0,0.0,3.33,0.0,3.33,20.0,258.0,2017.0,0.0,0.6,70.0,,,,,,,,,,,,,,,,,,,,,,"{""serving"":60.0}",null,112196601,50
8jpgegva,whole wheat saltines,genericFoods,398.0,10.71,0.0,0.0,68.25,0.0,0.0,7.14,0.0,1214.0,0.0,5.14,0.0,,221.0,2.793,7.229,70.0,1.46,196.0,0.0,0.465,0.225,4.427,0.213,119.0,30.0,52.0,0.0,0.0,1.19,18.3,9.85,,"{""oneMedium"":5.0,""serving"":14.0}",null,245366686,14
8jsedvub,powdered sugar,genericFoods,389.0,0.0,0.0,,99.77,0.0,97.81,0.0,0.0,2.0,1.0,0.06,0.0,97.81,2.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,,"{""serving"":3.0,""box"":453.0,""tsp"":2.5,""tbsp"":8.0,""cup"":120.0}",0.518,130023422,0
8k6fkenb,Southwestern Eggrolls,genericMeals,211.086,10.462,2.779,0.06,18.138,2.375,1.174,11.331,27.582,271.865,103.464,1.558,7.388,,243.898,4.58,2.344,28.478,0.861,159.01,43.099,0.185,0.166,3.809,0.24,69.397,37.903,18.692,0.148,0.085,1.268,23.048,58.463,,"{""oneMedium"":236.41,""serving"":236.41,""ml"":1.0}",1.0,102759936,52
8kav5zib,Seasoned Vegetables,fastFoods,64.669,2.939,0.588,0.588,9.406,2.352,2.939,1.764,0.0,49.971,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":170.1}",null,1,0
8kjqbuqb,"Sugars, maple",genericFoods,354.0,0.2,0.036,,90.9,0.0,84.87,0.1,0.0,11.0,90.0,1.61,0.0,84.87,274.0,0.064,0.1,19.0,6.06,3.0,0.0,0.009,0.013,0.04,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,"{""tsp"":3.0,""piece"":28.0,""serving"":9.0}",0.609,130023422,0
8kosm0mb,"Pancetta, Diced",packagedFoods,282.192,24.692,8.818,0.0,0.0,0.0,0.0,15.873,70.548,828.938,,0.635,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":56.7,""package"":113.4}",null,239063025,0
8kow1uta,Tonkatsu,genericMeals,201.342,11.682,2.97,0.151,10.578,0.836,1.535,12.76,56.156,240.526,42.514,1.311,5.948,0.053,250.783,5.668,1.653,17.003,1.563,131.258,13.638,0.216,0.152,3.378,0.338,21.138,12.515,5.08,0.577,0.247,1.063,10.238,62.925,,"{""oneMedium"":214.97,""serving"":214.97,""ml"":1.0}",1.0,101632273,774
8kq8h03b,Peppermint Mocha,genericMeals,63.919,2.629,1.642,0.0,9.074,0.578,7.549,1.841,4.83,35.107,63.558,0.349,0.089,4.104,119.349,0.682,0.159,17.579,0.335,55.607,27.091,0.028,0.139,0.379,0.019,4.148,4.148,0.0,0.195,0.528,0.152,0.452,85.748,,"{""oneMedium"":288.13,""serving"":288.13,""ml"":1.0}",1.0,111148781,74
8l0vjt0b,Hand-pressed Burger,fastFoods,256.997,18.575,4.071,0.254,13.486,1.018,3.053,10.941,26.718,379.135,2.036,12.723,2.545,,,,,,,,,,,,,,,,,,,,,,{},null,1,0
8l7rbakb,"NATURALISSIMA, PROSCIUTTO",packagedFoods,286.0,21.43,12.5,0.0,0.0,0.0,0.0,25.0,89.0,2286.0,0.0,1.29,0.0,,,,,,,,,,,,,,,,,,,,,,"{""serving"":28.35,""package"":113.4}",null,1048563697,0
8lrpxtsa,GRILLING SEASONS,packagedFoods,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":1.2,""package"":31.18,""tsp"":1.6}",0.325,1073741823,0
8lsk2e4a,Garlic Aioli,genericMeals,651.102,71.309,9.576,0.066,2.817,0.185,0.544,2.255,83.078,214.229,26.459,0.655,3.621,0.007,46.076,48.164,11.777,3.55,0.28,46.154,32.82,0.028,0.071,0.111,0.083,13.39,13.008,0.225,0.186,0.437,10.047,38.551,21.577,,"{""oneMedium"":117.19,""serving"":117.19,""ml"":1.0}",1.0,652148349,12
8lx2nk7a,Graham Muffins,genericMeals,254.665,9.144,1.525,0.193,37.834,1.892,12.443,6.25,38.81,321.48,192.74,1.856,0.299,8.242,145.737,4.506,2.534,27.18,0.811,283.21,34.471,0.178,0.189,1.427,0.09,46.456,17.445,17.026,0.206,0.433,1.057,3.561,44.425,,"{""ml"":1.0}",1.0,44039692,11
8mawu5tb,"Vicenzi Ladyfingers , 14.1 oz",packagedFoods,390.265,4.503,0.0,0.0,78.053,3.002,39.027,9.006,90.061,75.051,,1.081,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":33.31,""package"":399.73}",null,46136332,2
8mceqwtb,silk original creamer,genericFoods,100.0,6.67,0.0,0.0,6.67,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,86.29,,"{""serving"":60.0,""tbsp"":15.0}",1.014,251657727,2
8minov2a,"cooked macaroni, dry, unenriched",genericFoods,158.0,0.93,0.176,0.0,30.86,1.8,0.56,5.8,0.0,1.0,7.0,0.5,0.0,,44.0,0.131,0.319,18.0,0.51,58.0,0.0,0.02,0.02,0.4,0.049,7.0,7.0,0.0,0.0,0.0,0.06,0.0,62.13,,"{""oneMedium"":33.75,""serving"":280.0,""sheet"":33.75,""strip"":33.75,""tube"":22.68,""package"":240.0,""packet"":240.0,""cup"":140.0}",0.592,134217630,0
8mipiirb,"Private Selection Shortbread Tartlet Shells 1.75 Inch, 16.0 ea",packagedFoods,500.0,25.0,16.667,0.0,62.5,0.0,45.833,8.333,104.167,125.0,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":24.0,""package"":120.0}",null,111148556,0
8mitc78b,CHUNKY SALSA,packagedFoods,32.0,0.0,0.0,0.0,9.68,3.2,3.23,0.0,0.0,677.0,0.0,0.0,7.7,,258.0,0.0,0.0,,,,,,,,,,,,,,,,,,"{""serving"":31.0,""tbsp"":15.5}",1.048,130023423,0
8mq8gika,guacamole,genericFoods,200.0,20.0,,,6.667,,,3.333,,433.333,,,,,566.667,,,,,,,,,,,,,,,,,,,,"{""cup"":224.0}",0.947,786431999,2
8mrdpiua,Mutton Stew,genericMeals,140.619,10.134,4.497,0.022,5.194,1.033,1.523,7.218,27.478,204.44,24.762,1.062,11.769,0.016,222.996,3.855,1.043,17.807,1.347,86.087,46.847,0.068,0.103,2.451,0.166,15.174,15.174,0.0,1.11,0.049,0.423,4.798,76.165,,"{""oneMedium"":322.79,""serving"":322.79,""ml"":1.0}",1.0,106913505,72
8my6fo2b,CHOPPED SPINACH,packagedFoods,29.0,0.0,0.0,0.0,4.71,2.4,1.18,3.53,0.0,76.0,129.0,2.35,,,341.0,,,,,,,,,,,,,,,,,,,,"{""serving"":85.0,""package"":297.5,""cup"":85.0}",0.359,939524095,0
8n1svywb,Sourdough Biscuits,genericMeals,353.303,14.764,6.923,0.804,48.534,2.459,3.585,7.092,21.666,366.431,190.352,2.225,0.165,2.162,113.518,4.835,1.952,26.391,0.717,330.183,67.552,0.311,0.19,2.555,0.059,91.355,23.485,39.891,0.059,0.255,0.828,3.884,26.991,,"{""oneMedium"":53.69,""serving"":53.69}",null,111148684,10
8n9jci9a,Bread Idli,genericMeals,136.953,3.01,1.056,0.007,22.494,2.154,2.567,5.266,3.773,180.915,59.567,1.232,12.481,,280.946,1.02,0.63,25.759,0.58,92.421,12.904,0.13,0.103,1.657,0.179,32.157,27.361,2.821,0.104,0.034,0.31,4.024,67.889,,"{""oneMedium"":254.44,""serving"":254.44,""ml"":1.0}",1.0,111083148,8
8na4p20a,Seaweed Snacks,packagedFoods,560.0,36.0,26.0,4.0,34.0,0.0,0.0,22.0,20.0,760.0,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":5.0}",null,249561086,0
8nbwex2b,Apricot Buckle,genericMeals,286.064,13.836,8.101,0.492,38.227,1.233,27.435,3.338,74.625,207.572,54.975,0.844,3.526,24.204,125.656,3.828,0.857,8.763,0.345,96.015,151.437,0.08,0.115,0.74,0.046,34.179,12.834,12.54,0.132,0.466,0.779,2.295,43.158,,"{""oneMedium"":179.22,""serving"":179.22,""ml"":1.0}",1.0,111148556,0
8nfd5x2b,Polenta Chips,genericMeals,127.866,5.711,1.761,0.045,13.048,0.704,0.994,5.667,17.523,123.822,45.437,0.618,1.753,,89.76,2.517,1.019,11.835,0.466,69.297,23.935,0.064,0.084,1.729,0.103,22.347,9.01,7.871,0.108,0.127,0.389,3.688,74.939,,"{""oneMedium"":304.33,""serving"":304.33,""ml"":1.0}",1.0,106954369,120
8nl80axb,Pretzel Salad,genericMeals,234.807,11.752,6.344,0.348,30.16,1.198,15.102,3.58,29.681,272.329,30.305,1.018,12.058,9.006,107.054,3.348,1.007,10.921,0.32,52.106,92.07,0.088,0.09,1.037,0.033,34.793,34.672,0.07,0.058,0.18,0.468,2.783,53.55,,"{""ml"":1.0}",1.0,102755968,10
8nqsme3a,salt pork,genericFoods,748.0,80.5,29.38,,0.0,0.0,0.0,5.05,86.0,2684.0,6.0,0.44,0.0,,66.0,37.94,9.4,7.0,0.9,52.0,0.0,0.215,0.061,1.62,0.08,1.0,1.0,0.0,0.29,0.2,0.0,0.0,11.0,,"{""oneMedium"":28.4,""serving"":60.0,""piece"":28.4,""slice"":28.4}",null,511692785,2
8nqt67ob,BROWN FLAXSEED,packagedFoods,577.0,38.46,3.85,0.0,30.77,23.1,0.0,23.08,0.0,58.0,231.0,6.15,,,,7.69,26.92,,,,,,,,,,,,,,,,,,"{""serving"":26.0,""tbsp"":13.0}",0.879,520093695,0
